0.265	0.196	0.251	0.2	0.639
0.263	0.187	0.24	0.192	0.611
0.262	0.179	0.231	0.183	0.587
13.781	0.959	1.087	3.024	8.464
60.202	2.58	3.037	9.526	30.04
62.618	2.79	3.307	8.966	29.66
34.738	2.516	2.993	6.333	22.065
19.603	2.171	2.593	4.277	15.772
11.981	1.823	2.19	2.943	11.432
7.902	1.514	1.833	2.104	8.524
5.544	1.258	1.536	1.565	6.541
4.084	1.053	1.295	1.207	5.154
3.128	0.89	1.103	0.961	4.156
2.473	0.76	0.95	0.785	3.42
2.007	0.657	0.826	0.656	2.865
1.665	0.576	0.727	0.559	2.439
1.406	0.509	0.647	0.485	2.106
1.209	0.456	0.581	0.427	1.843
1.055	0.409	0.524	0.379	1.627
0.931	0.37	0.476	0.34	1.448
0.826	0.337	0.435	0.308	1.302
0.742	0.307	0.398	0.281	1.18
0.675	0.284	0.369	0.26	1.077
0.615	0.264	0.341	0.24	0.989
0.565	0.245	0.317	0.224	0.911
0.524	0.229	0.297	0.21	0.849
0.666	0.223	0.287	0.198	0.794
1.012	0.295	0.369	0.277	1.004
1.155	0.376	0.473	0.378	1.36
1.086	0.357	0.449	0.358	1.288
1.02	0.339	0.427	0.34	1.219
0.959	0.324	0.408	0.324	1.157
0.901	0.309	0.39	0.309	1.101
0.845	0.295	0.372	0.296	1.05
0.792	0.283	0.357	0.283	1.002
0.741	0.271	0.342	0.269	0.954
0.694	0.26	0.328	0.256	0.908
0.648	0.249	0.314	0.244	0.865
1.344	0.245	0.307	0.233	0.825
3.61	0.874	1	1.097	2.682
4.974	2.105	2.489	3.272	7.849
4.577	2.199	2.619	3.857	9.114
4.001	2.013	2.407	3.376	8.219
3.408	1.777	2.134	2.787	7.043
2.863	1.529	1.847	2.23	5.866
2.396	1.298	1.579	1.771	4.84
2.013	1.099	1.347	1.415	4.005
1.705	0.934	1.153	1.145	3.344
1.457	0.798	0.993	0.941	2.826
1.258	0.688	0.862	0.786	2.418
1.096	0.6	0.756	0.666	2.094
0.968	0.528	0.669	0.573	1.834
0.862	0.47	0.598	0.5	1.625
0.774	0.421	0.539	0.441	1.453
0.697	0.379	0.487	0.392	1.307
0.632	0.343	0.443	0.351	1.183
0.581	0.312	0.404	0.318	1.081
0.534	0.285	0.37	0.288	0.991
0.493	0.263	0.344	0.265	0.915
0.461	0.245	0.317	0.242	0.845
0.426	0.227	0.295	0.225	0.788
0.398	0.212	0.276	0.21	0.739
0.379	0.2	0.261	0.198	0.695
0.356	0.187	0.246	0.184	0.651
