3	4	5	6	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	26	27	28	29	30	31	32	33	34	37	38	39	40	42	43	46	49	50	52	53	54	55	57	58	59	62	66	67	69	70	71	73	75	76	77	78	79	80	82	83	85	86	87	88	89	90	91	93	94	95	96	97	99	100	101	103	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122
1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533	1.533
1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454
18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18
11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359	11.359
7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718	7.718
5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742	5.742
3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332	3.332
2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484	2.484
1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978	1.978
1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809	1.809
1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665	1.665
1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536	1.536
1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563	1.563
2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582	2.582
17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515	17.515
6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045	6.045
67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216	67.216
108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639	108.639
